  0.00000e+00   0.00000e+00    0.00000e+00   1.00000e+00    0.00000e+00   0.00000e+00  
  1.00000e-02   2.94454e-02    1.00000e-02   9.93962e-01    1.00000e-02   1.46929e-04  
  2.00000e-02   5.79572e-02    2.00000e-02   9.95619e-01    2.00000e-02   5.78702e-04  
  3.00000e-02   8.57859e-02    3.00000e-02   1.00468e+00    3.00000e-02   1.28866e-03  
  4.00000e-02   1.13167e-01    4.00000e-02   1.02093e+00    4.00000e-02   2.27863e-03  
  5.00000e-02   1.40324e-01    5.00000e-02   1.04419e+00    5.00000e-02   3.55831e-03  
  6.00000e-02   1.67469e-01    6.00000e-02   1.07438e+00    6.00000e-02   5.14497e-03  
  7.00000e-02   1.94805e-01    7.00000e-02   1.11144e+00    7.00000e-02   7.06343e-03  
  8.00000e-02   2.22531e-01    8.00000e-02   1.15538e+00    8.00000e-02   9.34612e-03  
  9.00000e-02   2.50840e-01    9.00000e-02   1.20626e+00    9.00000e-02   1.20336e-02  
  1.00000e-01   2.79919e-01    1.00000e-01   1.26418e+00    1.00000e-01   1.51749e-02  
  1.10000e-01   3.09958e-01    1.10000e-01   1.32931e+00    1.10000e-01   1.88286e-02  
  1.20000e-01   3.41143e-01    1.20000e-01   1.40183e+00    1.20000e-01   2.30637e-02  
  1.30000e-01   3.73663e-01    1.30000e-01   1.48201e+00    1.30000e-01   2.79608e-02  
  1.40000e-01   4.07708e-01    1.40000e-01   1.57013e+00    1.40000e-01   3.36136e-02  
  1.50000e-01   4.43474e-01    1.50000e-01   1.66654e+00    1.50000e-01   4.01305e-02  
  1.60000e-01   4.81159e-01    1.60000e-01   1.77162e+00    1.60000e-01   4.76371e-02  
  1.70000e-01   5.20971e-01    1.70000e-01   1.88582e+00    1.70000e-01   5.62781e-02  
  1.80000e-01   5.63123e-01    1.80000e-01   2.00960e+00    1.80000e-01   6.62202e-02  
  1.90000e-01   6.07836e-01    1.90000e-01   2.14352e+00    1.90000e-01   7.76553e-02  
  2.00000e-01   6.55343e-01    2.00000e-01   2.28815e+00    2.00000e-01   9.08041e-02  
  2.10000e-01   7.05887e-01    2.10000e-01   2.44412e+00    2.10000e-01   1.05920e-01  
  2.20000e-01   7.59724e-01    2.20000e-01   2.61213e+00    2.20000e-01   1.23295e-01  
  2.30000e-01   8.17123e-01    2.30000e-01   2.79291e+00    2.30000e-01   1.43264e-01  
  2.40000e-01   8.78369e-01    2.40000e-01   2.98728e+00    2.40000e-01   1.66210e-01  
  2.50000e-01   9.43761e-01    2.50000e-01   3.19608e+00    2.50000e-01   1.92575e-01  
  2.60000e-01   1.01362e+00    2.60000e-01   3.42023e+00    2.60000e-01   2.22866e-01  
  2.70000e-01   1.08827e+00    2.70000e-01   3.66071e+00    2.70000e-01   2.57661e-01  
  2.80000e-01   1.16808e+00    2.80000e-01   3.91855e+00    2.80000e-01   2.97626e-01  
  2.90000e-01   1.25343e+00    2.90000e-01   4.19484e+00    2.90000e-01   3.43524e-01  
  3.00000e-01   1.34471e+00    3.00000e-01   4.49075e+00    3.00000e-01   3.96225e-01  
  3.10000e-01   1.44234e+00    3.10000e-01   4.80748e+00    3.10000e-01   4.56729e-01  
  3.20000e-01   1.54677e+00    3.20000e-01   5.14630e+00    3.20000e-01   5.26177e-01  
  3.30000e-01   1.65847e+00    3.30000e-01   5.50851e+00    3.30000e-01   6.05872e-01  
  3.40000e-01   1.77794e+00    3.40000e-01   5.89547e+00    3.40000e-01   6.97303e-01  
  3.50000e-01   1.90570e+00    3.50000e-01   6.30858e+00    3.50000e-01   8.02165e-01  
  3.60000e-01   2.04230e+00    3.60000e-01   6.74922e+00    3.60000e-01   9.22390e-01  
  3.70000e-01   2.18831e+00    3.70000e-01   7.21880e+00    3.70000e-01   1.06017e+00  
  3.80000e-01   2.34433e+00    3.80000e-01   7.71870e+00    3.80000e-01   1.21801e+00  
  3.90000e-01   2.51098e+00    3.90000e-01   8.25024e+00    3.90000e-01   1.39872e+00  
  4.00000e-01   2.68890e+00    4.00000e-01   8.81467e+00    4.00000e-01   1.60549e+00  
  4.10000e-01   2.87875e+00    4.10000e-01   9.41307e+00    4.10000e-01   1.84191e+00  
  4.20000e-01   3.08119e+00    4.20000e-01   1.00464e+01    4.20000e-01   2.11203e+00  
  4.30000e-01   3.29688e+00    4.30000e-01   1.07152e+01    4.30000e-01   2.42036e+00  
  4.40000e-01   3.52650e+00    4.40000e-01   1.14198e+01    4.40000e-01   2.77192e+00  
  4.50000e-01   3.77069e+00    4.50000e-01   1.21602e+01    4.50000e-01   3.17231e+00  
  4.60000e-01   4.03007e+00    4.60000e-01   1.29355e+01    4.60000e-01   3.62767e+00  
  4.70000e-01   4.30520e+00    4.70000e-01   1.37444e+01    4.70000e-01   4.14472e+00  
  4.80000e-01   4.59658e+00    4.80000e-01   1.45846e+01    4.80000e-01   4.73075e+00  
  4.90000e-01   4.90459e+00    4.90000e-01   1.54527e+01    4.90000e-01   5.39358e+00  
  5.00000e-01   5.22953e+00    5.00000e-01   1.63441e+01    5.00000e-01   6.14149e+00  
  5.10000e-01   5.57147e+00    5.10000e-01   1.72528e+01    5.10000e-01   6.98311e+00  
  5.20000e-01   5.93033e+00    5.20000e-01   1.81709e+01    5.20000e-01   7.92724e+00  
  5.30000e-01   6.30574e+00    5.30000e-01   1.90886e+01    5.30000e-01   8.98263e+00  
  5.40000e-01   6.69702e+00    5.40000e-01   1.99939e+01    5.40000e-01   1.01576e+01  
  5.50000e-01   7.10314e+00    5.50000e-01   2.08724e+01    5.50000e-01   1.14598e+01  
